user_id,pratilipi_id,category_name,predicted_id,predicted_cat,jac_score,cat_jac_score
3263998672675492,"[1377786225588601, 1377786225687358, 1377786225726017, 1377786228272281, 1377786228272281, 1377786228272281, 1377786225929597, 1377786225949301, 1377786226014941, 1377786226057184]","['shortstories', 'shortstories', 'shortstories', 'suspense', 'romance', 'novels', 'shortstories', 'shortstories', 'shortstories', 'romance', 'comedy', 'romance', 'comedy', 'romance', 'comedy']","[1377786225950848, 1377786226216806, 1377786225799767, 1377786225461193, 1377786225640169, 1377786225913773, 1377786226273081, 1377786225899095, 1377786225822777, 1377786225522077]","['novels', 'suspense', 'romance']",0.0,0.6
3264359729373860,"[1377786217840312, 1377786217840312, 1377786217840312, 1377786217848605, 1377786217848605, 1377786217848605, 1377786218007963, 1377786218007963, 1377786218007963, 1377786218027375]","['suspense', 'novels', 'romance', 'novels', 'romance', 'suspense', 'novels', 'romance', 'suspense', 'novels', 'romance', 'suspense', 'novels', 'suspense', 'romance', 'suspense', 'romance', 'novels', 'novels', 'romance', 'suspense', 'suspense', 'romance', 'novels', 'suspense', 'novels', 'romance', 'romance', 'suspense', 'novels', 'suspense', 'romance', 'novels', 'novels', 'suspense', 'romance', 'novels', 'suspense', 'romance']","[1377786228249480, 1377786217164872, 1377786217270218, 1377786217482504, 1377786217096334, 1377786217252208, 1377786217143697, 1377786217470096, 1377786219008817, 1377786217157076]","['shortstories', 'novels', 'moral-inspiring', 'suspense', 'family', 'romance']",0.0,0.5
3264802291360420,"[1377786223781436, 1377786223781436, 1377786223781436, 1377786223911229, 1377786223911229, 1377786223911229, 1377786223924767, 1377786223924767, 1377786223924767, 1377786223974454]","['horror', 'suspense', 'entertainment', 'entertainment', 'horror', 'suspense', 'suspense', 'entertainment', 'horror', 'horror', 'suspense', 'entertainment', 'entertainment', 'suspense', 'horror', 'entertainment', 'suspense', 'horror']","[1377786218862882, 1377786225225603, 1377786226868388, 1377786226409894, 1377786225399782, 1217349092546248, 1377786222479953, 1377786225124051, 1377786225828503, 1377786225301820]","['shortstories', 'crime', 'novels', 'suspense', 'social', 'romance', 'horror']",0.0,0.25
3308162227544740,"[1377786227359359, 1377786227359359, 1377786227359359]","['Serieswriting', 'romance', 'social']","[1377786224510369, 1377786220691558, 1377786217164872, 1377786224510377, 1377786223641483, 1377786217096334, 1377786217143697, 1377786224510392, 1377786224510267, 1377786220679647]","['cyber-crime-fiction', 'women', 'moral-inspiring', 'suspense', 'social', 'family', 'comedy', 'romance', 'The-Chat-Story']",0.0,0.2
3314890925580964,"[1377786222333773, 1377786222333773, 1377786222333773, 1377786222370776, 1377786222370776, 1377786222370776, 1377786222383529, 1377786222383529, 1377786222383529, 1377786222514031]","['family', 'romance', 'suspense', 'suspense', 'romance', 'family', 'suspense', 'romance', 'family', 'family', 'romance', 'suspense', 'romance', 'family', 'suspense']","[1377786221899267, 1377786222220549, 1377786221834918, 1377786221767909, 1377786221736328, 1377786222149830, 1377786221715568, 1377786222310776, 1377786221817561, 1377786217851164]","['horror', 'suspense', 'family', 'romance']",0.0,0.75
3325209882305188,"[1377786224187229, 1377786224187229, 1377786224187229, 1377786224187157, 1377786224187157, 1377786224187157, 1377786224192840, 1377786224192840, 1377786224192840, 1377786224192783]","['horror', 'suspense', 'Pratilipi-kalamkar-samman', 'horror', 'suspense', 'Pratilipi-kalamkar-samman', 'horror', 'Pratilipi-kalamkar-samman', 'suspense', 'suspense', 'Pratilipi-kalamkar-samman', 'horror', 'Pratilipi-kalamkar-samman', 'suspense', 'horror', 'Pratilipi-kalamkar-samman', 'suspense', 'horror', 'women', 'swahindi2', 'Serieswriting', 'social', 'life', 'romance', 'novels', 'action-and-adventure', 'romance', 'novels', 'action-and-adventure', 'romance', 'romance', 'action-and-adventure', 'novels']","[1377786224306403, 1377786224321700, 1377786224321062, 1377786224321675, 1377786224261036, 1377786224292524, 1377786224320562, 1377786224306451, 1377786224260630, 1377786224352886]","['horror', 'suspense', 'Pratilipi-kalamkar-samman']",0.0,0.2727272727272727
3331025588363940,"[1377786222225323, 1377786222225323, 1377786222225323, 1377786222241315, 1377786222241315, 1377786222241315]","['family', 'novels', 'romance', 'romance', 'family', 'novels']","[1377786222208898, 1377786222162723, 1377786228287206, 1377786218120902, 1377786222225323, 1377786219810255, 1377786217839605, 1377786222078166, 1377786228316886, 1377786227331518]","['novels', 'women', 'social', 'family', 'romance']",0.09090909090909091,0.6
3333206431408804,"[1377786217925308, 1377786217925308, 1377786217945319, 1377786217945319, 1377786218763122, 1377786218763122, 1377786218634054, 1377786218634054, 1377786218648684, 1377786218648684]","['romance', 'novels', 'romance', 'novels', 'novels', 'romance', 'novels', 'romance', 'romance', 'novels', 'novels', 'romance', 'romance', 'novels', 'novels', 'romance']","[1377786217747235, 1377786225807047, 1377786217695528, 1377786224266890, 1377786217829713, 1377786226961393, 1377786217661201, 1377786217656789, 1377786228018743, 1377786217667133]","['entertainment', 'novels', 'women', 'life', 'suspense', 'social', 'action-and-adventure', 'family', 'romance']",0.0,0.2222222222222222
3344255512126116,"[1377786227361350, 1377786227361350, 1377786227361350, 1377786227375924, 1377786227375924, 1377786227375924, 1377786227401900, 1377786227401900, 1377786227401900, 1377786227424654]","['Pratilipi-Awards-Hindi', 'romance', 'social', 'social', 'romance', 'Pratilipi-Awards-Hindi', 'romance', 'Pratilipi-Awards-Hindi', 'social', 'romance', 'Pratilipi-Awards-Hindi', 'social', 'Pratilipi-Awards-Hindi', 'social', 'romance', 'social', 'romance', 'Pratilipi-Awards-Hindi', 'social', 'Pratilipi-Awards-Hindi', 'romance']","[1377786226172067, 1377786226745380, 1377786227514600, 1377786220788906, 1377786220026558, 1377786227056338, 1377786226758558, 1377786227027254, 1377786226885208, 1377786226926622]","['entertainment', 'swahindi2', 'moral-inspiring', 'suspense', 'social', 'webseries', 'romance', 'Pratilipi-Awards-Hindi']",0.0,0.375
3345751118619300,"[1377786226451287, 1377786226451287, 1377786226448953, 1377786226448953, 1377786226448953, 1377786223981347, 1377786223981347, 1377786223981347, 1377786223936080, 1377786223936080]","['romance', 'novels', 'novels', 'family', 'romance', 'romance', 'family', 'novels', 'romance', 'novels', 'family', 'erotica', 'fantasy', 'erotica', 'erotica', 'horror', 'swahindi2', 'erotica', 'webseries', 'novels', 'romance', 'novels', 'romance', 'romance', 'novels', 'novels', 'romance']","[1377786225967523, 1377786228241539, 1377786226241637, 1377786222301160, 1377786226164009, 1377786225918926, 1377786225869267, 1377786225944532, 1377786222441332, 1377786225843805]","['drama', 'novels', 'suspense', 'erotica', 'webseries', 'premkamahina', 'comedy', 'romance']",0.0,0.3333333333333333
